question,answer
ペットの写真をプリントしたクッションを作りたいです。どのくらいの画質の写真が必要ですか？,綺麗にプリントするためには、最低でも1500x1500ピクセル以上の解像度を推奨します。スマートフォンのカメラで撮影した写真でも、明るくピントが合っていれば概ね問題ありません。
結婚式の披露宴会場で、アレルギー対応の食事はお願いできますか？,はい、事前にアレルギー品目をお知らせいただければ、可能な範囲で個別に対応メニューをご用意いたします。担当プランナーにご相談ください。
営業力強化研修の対象者はどのレベルですか？,若手営業担当者向け、中堅営業担当者向け、営業管理者向けなど、対象レベルに応じた複数のプログラムをご用意しております。
リスティング広告のクリック単価（CPC）はどのように決まりますか？,キーワードの競争率（入札状況）、広告の品質スコア、入札価格など複数の要因によってオークション形式で決定されます。
このオーガニック石鹸は、どのような認証を受けていますか？,世界的なオーガニック認証機関であるECOCERT（エコサート）の認証を取得しています。
壊れたレコードプレーヤーの修理をお願いできますか？,メーカーや機種、故障状況によっては修理可能な場合がございます。まずは型番と症状をお知らせください。
ジオラマ制作用の素材（樹木や地面など）は販売していますか？,はい、各種スケールモデル用の樹木、草、土、水面表現材など、ジオラマ制作用の素材を幅広く取り揃えております。
毎月異なる地域の特産品が届くサブスクはありますか？,はい、「全国うまいもの巡り」というテーマで、毎月異なる都道府県の特産品（お菓子、加工品、調味料など）をお届けするサブスクリプションボックスがございます。
RPA（ロボティック・プロセス・オートメーション）導入支援コースでは、どのツールを学びますか？,主にUiPath、Power Automate Desktopなどの代表的なRPAツールを使用し、基本的な操作から業務自動化シナリオの作成までを実践的に学びます。
教育資金贈与の非課税制度について教えてください。,"祖父母などから30歳未満の孫などへ教育資金を一括贈与する場合、1,500万円まで贈与税が非課税となる制度です。金融機関での専用口座開設が必要です。"
ラフティングツアーに参加する際の服装と持ち物を教えてください。,水着または濡れても良い化繊の服（Tシャツ、短パンなど）、かかとが固定できるサンダルまたはウォーターシューズ、タオル、着替えをご用意ください。メガネの方はメガネバンドが必要です。
ゴキブリ駆除のベイト剤は、ペットや子供に安全ですか？,ベイト剤は容器に収められており、直接触れることが少ない設計になっていますが、誤飲・誤食を防ぐため、ペットやお子様の手の届かない場所に設置してください。使用上の注意をよくお読みください。
SFA（営業支援システム）を導入するメリットは何ですか？,顧客情報の一元管理、営業活動の可視化、案件進捗管理の効率化、営業報告の自動化、データ分析による営業戦略の精度向上などが期待できます。
このチーズに合うおすすめのワインはありますか？,こちらのブルーチーズには、甘口のポートワインやソーテルヌ、またはフルボディの赤ワインなどがよく合います。店頭でご相談いただければ、具体的な銘柄もご提案します。
整体の施術後、だるさが出ることがありますか？,好転反応として、一時的にだるさや眠気を感じることがあります。これは体が正常な状態に戻ろうとする過程で起こるもので、通常1～2日で治まります。水分を多めに摂ってお過ごしください。
バス停の時刻表が見づらいのですが、改善してもらえますか？,ご不便をおかけし申し訳ございません。該当のバス停名と具体的な状況をバス会社の営業所またはお客様センターまでご連絡ください。確認し、可能な範囲で改善に努めます。
電気自動車を中古で購入する際の注意点は何ですか？,バッテリーの劣化状態（航続可能距離）、充電履歴、保証期間の残りなどを重点的に確認することが重要です。専門の販売店での購入をおすすめします。
サービスオフィスとレンタルオフィスの違いは何ですか？,サービスオフィスは、受付サービスや秘書サービス、会議室利用などが付帯している場合が多く、レンタルオフィスは主にスペースの貸し出しが中心です。ただし、境界は曖昧なこともあります。
クラウドPBXの導入で、既存のビジネスフォンは使えますか？,アダプター等を利用して既存のSIP対応ビジネスフォンを接続できる場合もありますが、推奨のIP電話機への買い替えが一般的です。互換性についてはお問い合わせください。
この木琴の音階は正確ですか？調律は可能ですか？,子供向けの知育玩具として設計されており、正確な調律は施されていません。音楽的な精度を求める楽器としては適していません。調律機能もございません。
還暦祝いに、メッセージ入りの赤いちゃんちゃんこを贈りたいのですが、注文できますか？,はい、赤いちゃんちゃんこに、お名前や感謝のメッセージを刺繍でお入れするサービスを承っております。納期は約2週間です。
ウェビナー開催時、参加者の質疑応答はどのように管理できますか？,Q&A機能を利用してテキストで質問を受け付け、モデレーターが管理・回答することができます。また、挙手機能で音声による質疑応答も可能です。
マネジメント研修の効果測定はどのように行いますか？,研修前後のアンケート、360度評価、行動変容観察、KPI達成度などを組み合わせて多角的に効果測定を行います。
SNS広告のターゲティングは、どの程度細かく設定できますか？,年齢、性別、地域、興味関心、行動履歴、特定のウェブサイト訪問者など、プラットフォームによって非常に詳細なターゲティングが可能です。
ウェブサイトのアクセシビリティ診断では、具体的にどのような基準で評価しますか？,WCAG (Web Content Accessibility Guidelines) 2.1の適合レベルA、AA、AAAを基準に、キーボード操作性、スクリーンリーダー対応、十分なコントラスト比の確保などを評価します。
契約書の翻訳を依頼したいのですが、対応可能な言語ペアと納期を教えてください。,主に日英、英日、日中、中日翻訳に対応しております。その他の言語ペアもご相談ください。10ページの契約書（約5000ワード）の場合、通常5営業日程度で納品可能です。
新製品の市場受容性調査をお願いしたいのですが、どのような調査手法を用いますか？,ターゲット層へのオンラインアンケート、フォーカスグループインタビュー、試作品のユーザビリティテストなどを組み合わせ、定量的・定性的なデータを収集・分析します。
サプライチェーン最適化コンサルティングでは、どのような成果が期待できますか？,在庫削減、リードタイム短縮、物流コストの低減、需要予測精度の向上、サプライヤー管理の強化などが期待できます。具体的なKPIを設定し、改善効果を可視化します。
当社のシステムに対してペネトレーションテストを実施する場合、テスト期間はどのくらいですか？,対象システムの規模や複雑さによって異なりますが、一般的なWebアプリケーションの場合、準備期間を含めて2週間～1ヶ月程度が目安となります。
AWSのLambda関数を利用したサーバーレスアーキテクチャの設計支援は可能ですか？,はい、経験豊富なクラウドエンジニアが、Lambda関数の設計、API Gatewayとの連携、IAMロール設定など、サーバーレスアーキテクチャの構築と最適化を支援します。
3Dプリントサービスで利用できる素材の種類と、それぞれの特徴を教えてください。,ABS、PLA、ナイロン、レジン（光硬化樹脂）、金属（チタン、アルミなど）など、多様な素材に対応しています。強度、耐熱性、柔軟性、表面仕上げなどが素材によって異なりますので、用途に応じてご提案します。
ドローンを使った空撮を依頼したいのですが、飛行許可の申請は代行してもらえますか？,はい、DID（人口集中地区）や夜間飛行など、国土交通省への飛行許可申請が必要な場合は、当社の行政書士が代行手続きを行います。
医療従事者向けのVRトレーニングコンテンツの開発実績はありますか？,はい、外科手術シミュレーションや緊急時対応トレーニングなど、複数の医療機関向けVRコンテンツの開発実績がございます。守秘義務契約に基づき、詳細はお問い合わせください。
ブロックチェーン技術を弊社のトレーサビリティシステムに導入したいのですが、コンサルティングは可能ですか？,はい、お客様の業種や目的に最適なブロックチェーン基盤（パブリック、コンソーシアム、プライベート）の選定、システム設計、開発、導入まで一貫してサポートいたします。
精密天秤の定期的な校正は必要ですか？推奨頻度は？,はい、測定精度を維持するために定期的な校正が必要です。使用頻度や設置環境にもよりますが、一般的には年に1回の校正を推奨しています。
アレルギー対応（グルテンフリー、乳製品不使用など）のケータリングメニューはありますか？,はい、事前にアレルギー情報やご要望をお知らせいただければ、可能な限り対応した専用メニューをご提案・提供いたします。コンタミネーション防止にも細心の注意を払っております。
購入したヴィンテージドレスのお手入れ方法について教えてください。,素材や年代によって異なりますが、基本的には専門のクリーニング店にご相談いただくことをお勧めします。シルクやレースなどデリケートな素材は特に注意が必要です。
オーダーメイドギターのネックの形状や指板のR（アール）は指定できますか？,はい、お客様の手の大きさやプレイスタイルに合わせて、ネックの厚み、幅、シェイプ（U字、V字など）、指板のRを細かくご指定いただけます。
自分の家系のルーツを辿る家系図作成サービスでは、どこまでの範囲を調査できますか？,戸籍謄本、除籍謄本、改製原戸籍などを基に、江戸時代末期～明治初期頃までの直系尊属を調査するのが一般的です。ご希望に応じて、さらに古い文献調査も可能です。
オフィスの書類整理を依頼したいのですが、作業当日は立ち会いが必要ですか？,最初のヒアリングと最終確認の際は、できる限りお立ち会いをお願いしております。作業中はご不在でも問題ありませんが、判断が必要なものについては都度確認させていただきます。
NPO法人の助成金申請サポートをお願いする場合、成功報酬は発生しますか？,申請書類作成の着手金と、採択された場合の成功報酬をいただく形が一般的です。助成金の種類や申請規模によって料金体系が異なりますので、まずはお問い合わせください。
新製品発表会のメディア向けPR戦略の立案をお願いできますか？,はい、ターゲットメディアの選定、プレスリリースの作成・配信、記者会見やメディア向け体験会の企画・運営、掲載結果のクリッピングまでトータルでサポートいたします。
企業紹介ビデオのナレーションを依頼したいのですが、複数のナレーターから選べますか？,はい、男性・女性、声のトーン（落ち着いた、明るいなど）や言語（日本語、英語など）に応じて、複数の登録ナレーターのボイスサンプルをお聞きいただき、お選びいただけます。
医療機器の取扱説明書のテクニカルライティングをお願いできますか？,はい、薬機法などの関連法規を遵守し、専門用語を正確かつ分かりやすく解説するテクニカルライティングを得意としております。図版作成もご相談ください。
モバイルアプリのアクセシビリティ対応について、どのような点に注意すべきですか？,"OSのアクセシビリティ機能（VoiceOver, TalkBack）への対応、十分なタップ領域の確保、動的なコンテンツ変更の適切な通知、色覚多様性への配慮などが重要です。"
学術論文の英語から日本語への翻訳と、その逆の翻訳では料金は異なりますか？,一般的に、ネイティブ翻訳者が母国語へ翻訳する方が品質が安定するため、翻訳方向によって料金設定が若干異なる場合がございます。詳細はお見積もりにてご確認ください。
競合他社の顧客満足度調査を依頼することは可能ですか？,はい、覆面調査や既存顧客リストへのアンケート（許諾が必要）、公開情報の分析などを通じて、競合他社の顧客満足度や強み・弱みを調査・分析することが可能です。
デジタルトランスフォーメーション（DX）推進コンサルティングの初期診断では何をしますか？,現状の業務プロセス、ITシステム、組織文化などをヒアリングと資料分析を通じて把握し、DX推進の課題と機会を特定します。その上で、具体的な施策の方向性をご提案します。
Webアプリケーションのセキュリティ診断（脆弱性診断）とペネトレーションテストの違いは何ですか？,脆弱性診断は、ツールや手動で既知の脆弱性パターンを網羅的に検査するのに対し、ペネトレーションテストは、実際の攻撃者の視点からシステムへの侵入を試みる実践的なテストです。
Azure OpenAI Serviceを利用したチャットボット開発の支援は可能ですか？,はい、Azure OpenAI Serviceのモデル選定、プロンプトエンジニアリング、Fine-tuning、API連携、セキュリティ対策など、チャットボット開発全般をサポートします。
光造形方式の3Dプリンターで、透明なパーツを造形できますか？,はい、透明度の高い専用レジンを使用し、適切な後処理（研磨など）を行うことで、透明または半透明のパーツを造形することが可能です。
ドローン測量で得られたデータは、どのような形式で納品されますか？,オルソ画像（GeoTIFF形式）、点群データ（LAS/LAZ形式）、3Dモデル（OBJ/FBX形式）、DSM/DTM（数値標高モデル）など、ご要望に応じた形式で納品いたします。
工場内の作業員向けAR（拡張現実）安全教育システムの開発を検討しています。事例はありますか？,はい、ARグラスを通じて危険箇所を可視化したり、正しい作業手順をナビゲーションしたりする安全教育システムの開発実績がございます。具体的なデモも可能です。
NFTマーケットプレイスの構築を依頼する場合、スマートコントラクトの監査も含まれますか？,はい、セキュリティを最重視しており、開発したスマートコントラクトについては、提携する専門の監査会社による第三者監査を実施し、報告書を提出いたします。
ガスクロマトグラフ質量分析計（GC/MS）の定期メンテナンスでは、どのような作業を行いますか？,イオン源のクリーニング、カラムの点検・交換、真空ポンプのオイル交換、リークチェック、性能確認テスト（感度、分解能）などを行います。
